City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kutum,SD,14.2,24.6667,61.88,10,98,7.18,overcast clouds
79,Goderich,CA,43.7501,-81.7165,25.12,68,42,2.3,scattered clouds
80,Chaves,US,33.3834,-104.4505,64.81,24,0,24.16,clear sky
81,Sur,OM,22.5667,59.5289,77.52,48,0,0.83,clear sky
82,Bredasdorp,ZA,-34.5322,20.0403,61.29,66,0,10.18,clear sky
83,Gat,IL,31.61,34.7642,64.4,74,100,4.29,overcast clouds
84,Geraldton,AU,-28.7667,114.6,79.21,73,100,18.41,overcast clouds
85,Yomou,GN,7.5603,-9.2653,73.6,92,46,3.09,scattered clouds
86,Upernavik,GL,72.7868,-56.1549,8.62,92,92,6.53,overcast clouds
87,Sayyan,YE,15.1718,44.3244,47.73,34,19,5.41,few clouds
88,Birjand,IR,32.8663,59.2211,32.47,32,0,6.91,clear sky
89,Danielskuil,ZA,-28.1887,23.5395,63.1,46,0,11.32,clear sky
90,Jiblah,YE,13.9216,44.1467,57.61,33,5,4.9,clear sky
91,Clyde River,CA,70.4692,-68.5914,-1.97,84,100,5.75,light snow
92,Yarada,IN,17.65,83.2667,80.92,83,20,2.3,mist
93,Dimitrovgrad,RU,54.2139,49.6184,32.99,92,100,8.66,overcast clouds
94,Taoudenni,ML,22.6783,-3.9836,86.52,19,100,9.6,overcast clouds
95,Nanortalik,GL,60.1432,-45.2371,30.69,80,100,2.01,overcast clouds
96,Lebu,CL,-37.6167,-73.65,53.01,68,0,17.76,clear sky
97,Marquette,US,46.5333,-87.6335,30.69,56,100,11.97,overcast clouds
98,Pangnirtung,CA,66.1451,-65.7125,14.9,86,32,4.61,scattered clouds
99,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.48,87,100,4.9,overcast clouds
100,Bumbuna,SL,9.05,-11.7333,75.43,72,40,2.3,scattered clouds
101,Longuenesse,FR,50.734,2.2352,49.95,93,67,5.48,broken clouds
102,Narsaq,GL,60.9167,-46.05,27.86,75,91,3.74,overcast clouds
103,Kudahuvadhoo,MV,2.6708,72.8944,81.46,73,0,5.88,clear sky
104,Shelburne,CA,44.0787,-80.2041,23.79,75,7,2.66,clear sky
105,Cidreira,BR,-30.1811,-50.2056,73.67,85,100,18.23,overcast clouds
106,Vestmannaeyjar,IS,63.4427,-20.2734,37.4,67,51,25.43,broken clouds
107,Namibe,AO,-15.1961,12.1522,68.09,82,78,7.45,broken clouds
108,Topraisar,RO,44.0167,28.45,44.74,62,14,8.32,light rain
109,Sao Filipe,CV,14.8961,-24.4956,71.26,75,50,9.75,scattered clouds
110,Kolyvan,RU,55.3053,82.7391,29.82,77,100,22.59,overcast clouds
111,Killybegs,IE,54.6333,-8.45,45.23,86,100,5.79,overcast clouds
