City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
229,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
232,Timbiqui,CO,75.72,broken clouds,2.7717,-77.6654,Hotel Sharey
238,Nuqui,CO,77.77,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
239,Ratlam,IN,73.9,scattered clouds,23.3167,75.0667,Hotel Sagar Castle
244,Bubaque,GW,76.24,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
245,Nata,PA,84.07,overcast clouds,8.3333,-80.5167,Rey David
255,Boueni,YT,80.58,light rain,-12.9025,45.0761,The feet in water
256,Aneho,TG,82.6,few clouds,6.2333,1.6,Hotel La Linette
260,Tsabong,BW,70.56,clear sky,-26.0217,22.401,Springbok Motel
263,Daphne,US,71.58,broken clouds,30.6035,-87.9036,Pine Grove Lodge
264,Bayshore Gardens,US,76.08,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
266,Oriximina,BR,73.96,light rain,-1.7656,-55.8661,Pousada Tia Amélia
272,Araguacu,BR,72.75,light rain,-12.9306,-49.8264,Hotel Tocantins
273,Yenagoa,NG,78.01,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
277,Belmonte,BR,76.28,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
279,Senador Jose Porfirio,BR,73.49,light rain,-2.5908,-51.9542,Pousada Novo Horizonte
282,Salto,UY,78.85,overcast clouds,-31.3833,-57.9667,Gran Hotel Uruguay
284,Quelimane,MZ,71.82,overcast clouds,-17.8786,36.8883,Hotel Flamingo
285,Bonthe,SL,77.81,few clouds,7.5264,-12.505,Bonthe Holiday Village
286,Chirongui,YT,80.53,light rain,-12.9319,45.1483,La Villa Mahatsara
287,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
289,Bhadrak,IN,83.12,overcast clouds,21.0633,86.5054,Hotel bluevine
290,Benguela,AO,74.08,broken clouds,-12.5763,13.4055,Hotel Praia Morena
292,Mumford,GH,80.35,few clouds,5.2618,-0.759,Spanish Villa
293,Parrita,CR,80.26,overcast clouds,9.5201,-84.3225,Beso del Viento
301,Bosaso,SO,75.22,clear sky,11.2842,49.1816,Red Sea Hotel
302,Roura,GF,79.97,scattered clouds,4.7263,-52.3274,Amazonie Découverte SARL
303,Bombay,IN,80.58,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
305,Narwar,IN,81.45,clear sky,25.65,77.9,हनुमान मन्दिर
308,Saint-Leu,RE,76.06,light rain,-21.15,55.2833,La Caz Oceane
312,Rio Grande,BR,71.94,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
314,San Carlos,VE,84.4,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
318,Voi,KE,72.64,light rain,-3.3945,38.563,Voi Wildlife Lodge
324,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
325,Saint-Joseph,RE,75.58,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
326,Caravelas,BR,75.61,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
327,Chandbali,IN,83.3,overcast clouds,20.7833,86.7667,KABITA HOMES
329,Santa Cruz,BO,78.26,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
330,Batticaloa,LK,79.52,clear sky,7.7102,81.6924,Grand Star Guest House
333,Dhidhdhoo,MV,82.08,clear sky,6.8833,73.1,Dhidhoo beach
336,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
337,Cassilandia,BR,72.97,clear sky,-19.1133,-51.7342,Delirius Motel
343,Marsh Harbour,BS,74.61,clear sky,26.5412,-77.0636,Abaco Beach Resort
349,Touros,BR,77.41,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
351,Yanam,IN,82.62,scattered clouds,16.7333,82.2167,The Regency Hotel
353,Takoradi,GH,80.22,scattered clouds,4.8845,-1.7554,Raybow International Hotel
354,Bajil,YE,78.33,few clouds,15.0584,43.2851,فندق حضرموت
360,Sambava,MG,74.25,clear sky,-14.2667,50.1667,Melrose
361,Zwedru,LR,74.77,broken clouds,6.0667,-8.1281,Elijah Worjloh
362,Clearwater,US,76.03,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
365,Razole,IN,83.57,scattered clouds,16.4833,81.8333,Sterling Palavelli Godavari
368,Bandarbeyla,SO,78.96,broken clouds,9.4942,50.8122,JABIR HOTEL
369,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
370,Kotturu,IN,76.77,clear sky,14.8167,76.2167,Haripriya Landmark Hotel
371,Jeremie,HT,76.15,scattered clouds,18.65,-74.1167,Auberge’Inn
378,Doka,SD,81.55,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
389,West Bay,KY,78.01,few clouds,19.3667,-81.4167,Calypso Cove
390,Puerto Berrio,CO,76.06,overcast clouds,6.4916,-74.4033,Hotel Central
391,Sao Jose Da Coroa Grande,BR,78.04,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
394,Sao Lourenco Do Sul,BR,71.06,clear sky,-31.3653,-51.9783,Hotel Pousada Verde Água
397,Paita,PE,73.44,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
398,Touba,CI,77.43,broken clouds,8.2833,-7.6833,Hotel de L'Amitié Vraie
400,Pali,IN,76.05,clear sky,25.7667,73.3333,HOTEL THE AMBA VILAS
401,Mecca,SA,77.0,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
408,Praia,CV,70.34,broken clouds,14.9215,-23.5087,LT Aparthotel
409,Coyaima,CO,75.56,overcast clouds,3.7994,-75.1947,El Mirador del Triángulo
411,Santa Maria Da Vitoria,BR,72.95,broken clouds,-13.3947,-44.1886,Pousada Rio Current
412,Bensonville,LR,77.59,light rain,6.4461,-10.6125,Moinga
418,Adiake,CI,79.39,few clouds,5.2863,-3.304,Complexe Le Crystal
419,Dunmore Town,BS,74.07,clear sky,25.5,-76.65,Coral Sands Hotel
422,Mandera,KE,79.32,scattered clouds,3.9366,41.867,Hiren Hotel Mandera
